Match,Team,Bowler Name,Overs,Maidens,Runs Conceded,Economy,0s,4s,6s,WD,NB
1,New Zealand,Trent Boult,10.0,1,48,4.8,34,3,2,1,0
1,New Zealand,Matt Henry,10.0,1,48,4.8,31,6,0,0,0
1,New Zealand,Mitchell Santner,10.0,0,37,3.7,26,0,0,1,0
1,New Zealand,James Neesham,7.0,0,56,8.0,15,5,2,2,0
1,New Zealand,Rachin Ravindra,10.0,0,76,7.6,14,6,2,0,0
1,New Zealand,Glenn Phillips,3.0,0,17,5.66,5,1,0,0,0
1,England,Chris Woakes,6.0,0,45,7.5,18,7,1,0,0
1,England,Sam Curran,6.0,2,47,7.83,17,6,1,2,0
1,England,Mark Wood,5.0,0,55,11.0,9,7,2,1,0
1,England,Moeen Ali,9.2,0,60,6.42,20,2,3,0,0
1,England,Adil Rashid,7.0,0,47,6.71,15,4,1,0,0
1,England,Liam Livingstone,3.0,0,24,8.0,7,4,0,0,0
2,Netherlands,Aryan Dutt,10.0,0,48,4.8,37,7,0,2,0
2,Netherlands,Logan van Beek,6.0,0,30,5.0,20,4,0,1,0
2,Netherlands,Colin Ackermann,8.0,1,39,4.87,26,1,2,0,0
2,Netherlands,Paul van Meekeren,6.0,0,40,6.66,16,5,0,2,0
2,Netherlands,Bas de Leede,9.0,0,62,6.88,22,9,0,3,0
2,Netherlands,Roelof van der Merwe,6.0,0,36,6.0,14,2,1,0,1
2,Netherlands,Vikramjit Singh,2.0,0,16,8.0,5,3,0,0,0
2,Netherlands,Saqib Zulfiqar,2.0,0,15,7.5,3,2,0,0,0
2,Pakistan,Shaheen Shah Afridi,7.0,0,37,5.28,26,5,0,2,0
2,Pakistan,Hasan Ali,7.0,1,33,4.71,31,6,0,4,0
2,Pakistan,Haris Rauf,9.0,0,43,4.77,33,5,1,2,0
2,Pakistan,Iftikhar Ahmed,3.0,0,16,5.33,7,1,0,0,0
2,Pakistan,Mohammad Nawaz,7.0,0,31,4.42,23,2,1,0,0
2,Pakistan,Shadab Khan,8.0,0,45,5.62,23,1,2,1,0
3,Bangladesh,Taskin Ahmed,6.0,0,32,5.33,23,3,1,1,0
3,Bangladesh,Shoriful Islam,6.2,1,34,5.36,23,5,0,2,0
3,Bangladesh,Mustafizur Rahman,7.0,1,28,4.0,26,2,1,0,0
3,Bangladesh,Shakib Al Hasan,8.0,0,30,3.75,28,3,0,0,0
3,Bangladesh,Mehidy Hasan Miraz,9.0,3,25,2.77,38,1,0,1,0
