Player,Mat,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Team
Mohammed Shami,7,48.5,4,257,24,10.7,5.26,12.2,1,3,India
A Zampa,11,96.0,1,515,23,22.39,5.36,25.04,3,0,Australia
D Madushanka,9,78.2,4,525,21,25.0,6.7,22.38,1,1,Sri Lanka
JJ Bumrah,11,91.5,9,373,20,18.65,4.06,27.55,1,0,India
G Coetzee,8,63.3,1,396,20,19.8,6.23,19.05,1,0,South Africa
Shaheen Shah Afridi,9,81.0,3,481,18,26.72,5.93,27.0,0,1,Pakistan
M Jansen,9,69.0,3,450,17,26.47,6.52,24.35,0,0,South Africa
RA Jadeja,11,93.3,4,398,16,24.87,4.25,35.06,0,1,India
JR Hazlewood,11,93.1,8,449,16,28.06,4.81,34.93,0,0,Australia
MJ Santner,10,92.4,4,449,16,28.06,4.84,34.75,0,1,New Zealand
BFW de Leede,9,67.0,0,487,16,30.43,7.26,25.12,1,0,Netherlands
MA Starc,10,87.0,2,528,16,33.0,6.06,32.62,0,0,Australia
Haris Rauf,9,79.0,1,533,16,33.31,6.74,29.62,0,0,Pakistan
KA Maharaj,10,89.0,1,370,15,24.66,4.15,35.6,1,0,South Africa
AU Rashid,9,79.4,1,413,15,27.53,5.18,31.86,0,0,England
Kuldeep Yadav,11,95.1,2,424,15,28.26,4.45,38.06,0,0,India
PJ Cummins,11,89.3,1,515,15,34.33,5.75,35.8,0,0,Australia
Mohammed Siraj,11,82.3,6,469,14,33.5,5.68,35.35,0,0,India
TA Boult,10,91.0,6,504,14,36.0,5.53,39.0,0,0,New Zealand
K Rabada,9,72.5,7,364,13,28.0,4.99,33.61,0,0,South Africa
PA van Meekeren,9,74.2,1,447,12,37.25,6.01,37.16,1,0,Netherlands
LV van Beek,8,70.5,1,476,12,39.66,6.72,35.41,1,0,Netherlands
DJ Willey,6,51.0,6,259,11,23.54,5.07,27.81,0,0,England
MJ Henry,7,54.2,3,315,11,28.63,5.79,29.63,0,0,New Zealand
Rashid Khan,9,86.3,2,388,11,35.27,4.48,47.18,0,0,Afghanistan
Mohammad Wasim,4,38.1,2,215,10,21.5,5.63,22.9,0,0,Pakistan
CR Woakes,8,55.0,1,298,10,29.8,5.41,33.0,1,0,England
LH Ferguson,7,54.0,3,301,10,30.1,5.57,32.4,0,0,New Zealand
L Ngidi,8,60.3,6,355,10,35.5,5.86,36.3,0,0,South Africa
Mehidy Hasan Miraz,9,72.0,3,402,10,40.2,5.58,43.2,0,0,Bangladesh
Shoriful Islam,8,64.4,3,409,10,40.9,6.32,38.8,0,0,Bangladesh
A Dutt,9,77.3,6,426,10,42.6,5.49,46.5,0,0,Netherlands
T Shamsi,4,37.5,0,212,9,23.55,5.6,25.22,1,0,South Africa
Hasan Ali,6,51.0,2,321,9,35.66,6.29,34.0,1,0,Pakistan
