Match,Team,Bowler Name,Overs,Maidens,Runs Conceded,Economy,0s,4s,6s,WD,NB
1,New Zealand,Trent Boult,10.0,1.0,48.0,4.8,34.0,3.0,2.0,1.0,0.0
1,New Zealand,Matt Henry,10.0,1.0,48.0,4.8,31.0,6.0,0.0,0.0,0.0
1,New Zealand,Mitchell Santner,10.0,0.0,37.0,3.7,26.0,0.0,0.0,1.0,0.0
1,New Zealand,James Neesham,7.0,0.0,56.0,8.0,15.0,5.0,2.0,2.0,0.0
1,New Zealand,Rachin Ravindra,10.0,0.0,76.0,7.6,14.0,6.0,2.0,0.0,0.0
1,New Zealand,Glenn Phillips,3.0,0.0,17.0,5.66,5.0,1.0,0.0,0.0,0.0
1,England,Chris Woakes,6.0,0.0,45.0,7.5,18.0,7.0,1.0,0.0,0.0
1,England,Sam Curran,6.0,2.0,47.0,7.83,17.0,6.0,1.0,2.0,0.0
1,England,Mark Wood,5.0,0.0,55.0,11.0,9.0,7.0,2.0,1.0,0.0
1,England,Moeen Ali,9.2,0.0,60.0,6.42,20.0,2.0,3.0,0.0,0.0
1,England,Adil Rashid,7.0,0.0,47.0,6.71,15.0,4.0,1.0,0.0,0.0
1,England,Liam Livingstone,3.0,0.0,24.0,8.0,7.0,4.0,0.0,0.0,0.0
2,Netherlands,Aryan Dutt,10.0,0.0,48.0,4.8,37.0,7.0,0.0,2.0,0.0
2,Netherlands,Logan van Beek,6.0,0.0,30.0,5.0,20.0,4.0,0.0,1.0,0.0
2,Netherlands,Colin Ackermann,8.0,1.0,39.0,4.87,26.0,1.0,2.0,0.0,0.0
2,Netherlands,Paul van Meekeren,6.0,0.0,40.0,6.66,16.0,5.0,0.0,2.0,0.0
2,Netherlands,Bas de Leede,9.0,0.0,62.0,6.88,22.0,9.0,0.0,3.0,0.0
2,Netherlands,Roelof van der Merwe,6.0,0.0,36.0,6.0,14.0,2.0,1.0,0.0,1.0
2,Netherlands,Vikramjit Singh,2.0,0.0,16.0,8.0,5.0,3.0,0.0,0.0,0.0
2,Netherlands,Saqib Zulfiqar,2.0,0.0,15.0,7.5,3.0,2.0,0.0,0.0,0.0
2,Pakistan,Shaheen Shah Afridi,7.0,0.0,37.0,5.28,26.0,5.0,0.0,2.0,0.0
2,Pakistan,Hasan Ali,7.0,1.0,33.0,4.71,31.0,6.0,0.0,4.0,0.0
2,Pakistan,Haris Rauf,9.0,0.0,43.0,4.77,33.0,5.0,1.0,2.0,0.0
2,Pakistan,Iftikhar Ahmed,3.0,0.0,16.0,5.33,7.0,1.0,0.0,0.0,0.0
2,Pakistan,Mohammad Nawaz,7.0,0.0,31.0,4.42,23.0,2.0,1.0,0.0,0.0
2,Pakistan,Shadab Khan,8.0,0.0,45.0,5.62,23.0,1.0,2.0,1.0,0.0
3,Bangladesh,Taskin Ahmed,6.0,0.0,32.0,5.33,23.0,3.0,1.0,1.0,0.0
3,Bangladesh,Shoriful Islam,6.2,1.0,34.0,5.36,23.0,5.0,0.0,2.0,0.0
3,Bangladesh,Mustafizur Rahman,7.0,1.0,28.0,4.0,26.0,2.0,1.0,0.0,0.0
3,Bangladesh,Shakib Al Hasan,8.0,0.0,30.0,3.75,28.0,3.0,0.0,0.0,0.0
3,Bangladesh,Mehidy Hasan Miraz,9.0,3.0,25.0,2.77,38.0,1.0,0.0,1.0,0.0
3,Bangladesh,Mahmudullah,1.0,0.0,7.0,7.0,3.0,1.0,0.0,0.0,0.0
3,Afghanistan,Fazalhaq Farooqi,5.0,0.0,19.0,3.8,22.0,2.0,0.0,2.0,0.0
3,Afghanistan,Mujeeb Ur Rahman,7.0,0.0,30.0,4.28,26.0,3.0,1.0,0.0,0.0
3,Afghanistan,Naveen-ul-Haq,5.4,0.0,31.0,5.47,14.0,2.0,0.0,1.0,1.0
3,Afghanistan,Rashid Khan,9.0,0.0,48.0,5.33,24.0,5.0,0.0,0.0,0.0
3,Afghanistan,Mohammad Nabi,6.0,1.0,18.0,3.0,20.0,0.0,0.0,1.0,0.0
3,Afghanistan,Azmatullah Omarzai,2.0,0.0,9.0,4.5,7.0,1.0,0.0,0.0,0.0
4,Sri Lanka,Kasun Rajitha,10.0,1.0,90.0,9.0,24.0,8.0,5.0,2.0,0.0
4,Sri Lanka,Dilshan Madushanka,10.0,0.0,86.0,8.6,25.0,12.0,1.0,3.0,1.0
4,Sri Lanka,Dasun Shanaka,6.0,0.0,36.0,6.0,10.0,1.0,1.0,0.0,0.0
4,Sri Lanka,Dhananjaya de Silva,4.0,0.0,39.0,9.75,9.0,4.0,2.0,1.0,0.0
4,Sri Lanka,Matheesha Pathirana,10.0,0.0,95.0,9.5,22.0,10.0,2.0,5.0,0.0
4,Sri Lanka,Dunith Wellalage,10.0,0.0,81.0,8.1,27.0,10.0,3.0,2.0,0.0
4,South Africa,Lungi Ngidi,8.0,1.0,49.0,6.12,30.0,3.0,4.0,2.0,0.0
4,South Africa,Marco Jansen,10.0,0.0,92.0,9.2,31.0,10.0,6.0,3.0,0.0
4,South Africa,Kagiso Rabada,7.5,0.0,50.0,6.38,22.0,3.0,2.0,2.0,1.0
4,South Africa,Keshav Maharaj,10.0,0.0,62.0,6.2,33.0,6.0,2.0,2.0,0.0
4,South Africa,Gerald Coetzee,9.0,0.0,68.0,7.55,26.0,7.0,3.0,1.0,0.0
5,India,Jasprit Bumrah,10.0,0.0,35.0,3.5,41.0,1.0,1.0,4.0,0.0
5,India,Mohammed Siraj,6.3,1.0,26.0,4.0,26.0,3.0,0.0,2.0,0.0
5,India,Hardik Pandya,3.0,0.0,28.0,9.33,8.0,6.0,0.0,0.0,0.0
5,India,Ravichandran Ashwin,10.0,1.0,34.0,3.4,32.0,2.0,0.0,0.0,0.0
5,India,Kuldeep Yadav,10.0,0.0,42.0,4.2,31.0,2.0,1.0,0.0,0.0
5,India,Ravindra Jadeja,10.0,2.0,28.0,2.8,38.0,2.0,0.0,0.0,0.0
5,Australia,Mitchell Starc,8.0,0.0,31.0,3.87,28.0,2.0,0.0,3.0,0.0
5,Australia,Josh Hazlewood,9.0,1.0,38.0,4.22,33.0,3.0,1.0,1.0,0.0
5,Australia,Pat Cummins,6.2,0.0,33.0,5.21,19.0,2.0,1.0,1.0,1.0
5,Australia,Glenn Maxwell,8.0,0.0,33.0,4.12,24.0,1.0,1.0,0.0,0.0
5,Australia,Cameron Green,2.0,0.0,11.0,5.5,7.0,2.0,0.0,0.0,0.0
5,Australia,Adam Zampa,8.0,0.0,53.0,6.62,13.0,4.0,0.0,0.0,0.0
6,Netherlands,Aryan Dutt,10.0,2.0,62.0,6.2,31.0,3.0,3.0,1.0,0.0
6,Netherlands,Ryan Klein,7.0,1.0,41.0,5.85,25.0,7.0,0.0,1.0,0.0
6,Netherlands,Paul van Meekeren,9.0,0.0,59.0,6.55,28.0,7.0,2.0,0.0,1.0
6,Netherlands,Roelof van der Merwe,9.0,0.0,56.0,6.22,20.0,5.0,1.0,0.0,0.0
6,Netherlands,Colin Ackermann,4.0,0.0,28.0,7.0,9.0,1.0,2.0,0.0,0.0
6,Netherlands,Bas de Leede,10.0,0.0,64.0,6.4,28.0,6.0,2.0,0.0,1.0
