Time,Toss,Team 1 Score,Team 1 Overs,Team 2 Score,Team 1 PP-1 Score,Team 1 PP-2 Score,Team 1 PP-3 Score,Team 2 PP-1 Score,Team 2 PP-2 Score,Team 2 PP-3 Score,MOM
"Hours of play (local time)14.00 start, First Session 14.00-17.30, Interval 17.30-18.00, Second Session 18.00-21.30","TossNew Zealand, elected to field first",282/9,50.0 overs,"(36.2/50 ov, T:283) 283/1","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 51 runs, 1 wicket)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 173 runs, 5 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 58 runs, 3 wickets)","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 81 runs, 1 wicket)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 202 runs, 0 wicket)",NA,Rachin Ravindra
"Hours of play (local time)14.00 start, First Session 14.00-17.30, Interval 17.30-18.00, Second Session 18.00-21.30","TossNetherlands, elected to field first",286,49.0 overs,"(41/50 ov, T:287) 205","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 43 runs, 3 wickets)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 184 runs, 3 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 59 runs, 4 wickets)","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 47 runs, 1 wicket)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 155 runs, 8 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 5 runs, 1 wicket)",Saud Shakeel
"Hours of play (local time)10.30 start, First Session 10.30-14.00, Interval 14.00-14.30, Second Session 14.30-18.00","TossBangladesh, elected to field first",156,37.2 overs,"(34.4/50 ov, T:157) 158/4","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 50 runs, 1 wicket)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 106 runs, 9 wickets)",NA,"Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 44 runs, 2 wickets)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 114 runs, 2 wickets)",NA,Mehidy Hasan Miraz
"Hours of play (local time)14.00 start, First Session 14.00-17.30, Interval 17.30-18.00, Second Session 18.00-21.30","TossSri Lanka, elected to field first",428/5,50.0 overs,"(44.5/50 ov, T:429) 326","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 48 runs, 1 wicket)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 243 runs, 2 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 137 runs, 2 wickets)","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 94 runs, 2 wickets)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 197 runs, 6 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 35 runs, 2 wickets)",Aiden Markram
"Hours of play (local time)14.00 start, First Session 14.00-17.30, Interval 17.30-18.00, Second Session 18.00-21.30","TossAustralia, elected to bat first",199,49.3 overs,"(41.2/50 ov, T:200) 201/4","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 43 runs, 1 wicket)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 113 runs, 6 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 43 runs, 3 wickets)","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 27 runs, 3 wickets)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 155 runs, 1 wicket)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 19 runs, 0 wicket)",KL Rahul
"Hours of play (local time)14.00 start, First Session 14.00-17.30, Interval 17.30-18.00, Second Session 18.00-21.30","TossNetherlands, elected to field first",322/7,50.0 overs,"(46.3/50 ov, T:323) 223","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 63 runs, 0 wicket)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 175 runs, 3 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 84 runs, 4 wickets)","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 35 runs, 1 wicket)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 161 runs, 6 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 27 runs, 3 wickets)",Mitchell Santner
"Hours of play (local time)10.30 start, First Session 10.30-14.00, Interval 14.00-14.30, Second Session 14.30-18.00","TossBangladesh, elected to field first",364/9,50.0 overs,"(48.2/50 ov, T:365) 227","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 61 runs, 0 wicket)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 237 runs, 3 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 66 runs, 6 wickets)","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 57 runs, 4 wickets)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 134 runs, 3 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 36 runs, 3 wickets)",Dawid Malan
"Hours of play (local time)14.00 start, First Session 14.00-17.30, Interval 17.30-18.00, Second Session 18.00-21.30","TossSri Lanka, elected to bat first",344/9,50.0 overs,"(48.2/50 ov, T:345) 345/4","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 58 runs, 1 wicket)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 225 runs, 3 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 61 runs, 5 wickets)","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 48 runs, 2 wickets)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 223 runs, 1 wicket)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 74 runs, 1 wicket)",Mohammad Rizwan
"Hours of play (local time)14.00 start, First Session 14.00-17.30, Interval 17.30-18.00, Second Session 18.00-21.30","TossAfghanistan, elected to bat first",272/8,50.0 overs,"(35/50 ov, T:273) 273/2","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 48 runs, 1 wicket)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 163 runs, 3 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 61 runs, 4 wickets)","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 94 runs, 0 wicket)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 179 runs, 2 wickets)",NA,Rohit Sharma
"Hours of play (local time)14.00 start, First Session 14.00-17.30, Interval 17.30-18.00, Second Session 18.00-21.30","TossAustralia, elected to field first",311/7,50.0 overs,"(40.5/50 ov, T:312) 177","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 53 runs, 0 wicket)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 179 runs, 3 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 79 runs, 4 wickets)","Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 50 runs, 3 wickets)","Powerplay 2: Overs 10.1 - 40.0 (Mandatory - 124 runs, 5 wickets)","Powerplay 3: Overs 40.1 - 50.0 (Mandatory - 3 runs, 2 wickets)",Quinton de Kock
